"Comment","Class"
"I am planning to travel China for 2 weeks as my sister family lives there.","false"
"Driver visa","false"
"US tour assistance","false"
"ا لا حمد","false"
"Looking for job in there","false"
"Open a bank account and wealth management account","false"
"I need work visa","false"
"Work visa","false"
"Tourist Visa.","false"
"0561480523","false"
"Добрый день! Интересует возможность получения шенгенской визы в ОАЭ.","false"
"Us viza vork","false"
"I nead job","false"
"Need to apply express visa to Finland for my son","true"
"I\\'m living in dubai and going permanent in us","false"
"Planning on get the visa before new year","false"
"I want to apply for a visit visa. What are the requirements. Does it require a big lump sum in account.","false"
"Шенген","false"
"Please help me","false"
"Please contact me","false"
"I want to europe from UAE","false"
"Hi I need help I want to know how to apply visa to USA","false"
"Tourist visa","false"
"Good afternoon sir/ madam \nI write to inquire about the study programs in Australia","false"
"I want Schengen visa","false"
"I want to apply Schengen Visa(with family) to travel some of the European countries ","false"
"تصريح عمل","false"
"I want work permit for italy","false"
"I need a ","false"
"Do you assist getting an appointment for Germany Employment Visa? I already have a signed contract from Germany.","false"
"looking to apply for Tourist visa","false"
"I want job","false"
"I need work permit.","false"
"shoaib","false"
"I want consultant","false"
"Need work permit an TRC?","false"
"Visiting visa","false"
"I need Schengen visa","false"
"I want to go Australia for a job","false"
"Hi,\nI would like to apply for a shengen to travel in december to france or italy with the family \nThank you","false"
"I need work permit","false"
"I wanted to apply visit visa for us and I have received a invitation paper from my sister and also her passport copy. \nCould you help me how can I apply now.","false"
"Schengan visa","false"
" Hello sir \n         I want to vist your good country japan . i apply for japan plese tell me about this process \n Thnkuu","false"
"I am a truck driver in UAE Dobia Dulsco compny ","false"
"971526623856","false"
"I need visit visa appointment","false"
"I need to apply for a Usa visit visa for my family and I. we are South African citizens living in Dubai.","false"
"Call me back please, i want to get a schengen visa, visit Europe a few times for travel history and then plan to move to sweden later next year.","false"
"Hi sir good morning i want work permit possible please becouse i am work United Arab Emirates rak sea port rasalkhimea so i work in sea port work in the14 years i propestion wheel loder operator and truck driver","false"
"Require US visa to attend a marriage in LA","false"
"Work","false"
"looking for tourist visa","false"
"Wh ere is your office location please","false"
"Visa for Australia. Serbian passport. UK visa holder and UAE resident.","false"
"I need to go to America, there is not enough work there","false"
"Need visa to Spain \nRussian passport","false"
"Electric ITI","false"
"Need to apply for us visa","false"
"I am seeking for fully funded scholarship in usa","false"
"Renewal of B2/B2. visa","true"
"I want to travel for europ","false"
"Shengen visa","false"
"Dear Team\ni would like to know what is the salary requirements for Golden Visa for IT Professional (IT Manager) with BS degree and UAE equivalency degree as well.\n","false"
"Need to check the nearest appointment.","false"
"I want to move in Europe on work permit","false"
"Looking for Japan travel Visa urgently ","false"
"I need visa for my maid from Philipines\nTavel date 13.12","true"
"I want to get a visa to travel to America","false"
"I need a joob","false"
"Good morning team \nI am searching for hotel job in Japan \n","false"
"I Need to pply long term visit visa for my husband, \ni am british pakstani . \nhis passport is pakistan but he has spouse visa uk \nwe both have emirate residency","false"
"hello i`m tunisian resident in dubai i would like to apply for schengen visa . thank you","false"
"I am looking for a digital nomad visa. I have Saudi Residency and Australian Residency and am a Pakistani national","false"
"Free visas available","false"
"I need visa for Switzerland two adult and two children, let me know the cost","false"
" I request a call back","false"
"I wanna know about the B2 Visitor Visa Requirements and Whats the Earliest Appointment i Can get","false"
"i have a team gathering in spain in Januray 2025 i would like to get schengen Visa for me and also for my wife and child as we are planning to stay 1 week there after the team gathering","false"
"شريف ابرهيم","false"
"Hi","false"
"Can you help me","false"
"i need job","false"
"I need to apply for Lithuania TRP","false"
"I delivery boy job motorcyckle","false"
"alig I am working to Abu Dhabi","false"
"I want a visa appointment from uae to chaina","false"
"Booking for Italy Schengen","false"
"Luxembourg","false"
"USA work visa","false"
"I am from pakistan right now i am in UAE i am looking for japan visa","false"
"I need work permit","false"
"I want work for my film needs","false"
"Hilo sir","false"
"would like to know details on how to get Schengen visa appointment to Italy for family of 3 members","false"
"Please, call me any day before 11 AM","true"
"hi what are the timelines for getting an appointment for Schengen visa which country , and in how many day i will get visa if i need to travel in december","false"
"I need to apply for a China visa for an official visit. I am an Indian citizen with a valid UAE resident visa for the next 1.5 years","false"
"Hi","false"
"Hi! My name is Ali I am from pakistan now I have been living in dubai for 8 years I am interested for going schengen County. How to get a schengen visa please guide me.","false"
"I want Schengen visa to Spain","false"
"I need a visa","false"
"I need usa visa with my wife","false"
"I need a work permit","false"
"Would like to relocate to the usa one day","false"
"I would know about USA visa","true"
"I would know about USA visa","true"
"I am seeking to get the visa for me and my husband to spend the new year’s eve in America","false"
"I want to apply a Schengen visa for tourism","false"
"I need work permit visa","false"
"Looking for US Visit Visa appointment","false"
"I need urgent visa to Spain","true"
"I want to obtain golden visa. I am already a UAE resident. I want to apply for the executive management residency type","false"
"I’m a Cameroonian resident in Dubai would like to visit China soon for 5 to 10 days","false"
"Ali","false"
"Greetings, I have recently been made redundant from my role as Head of Investment at a real estate consultancy company. My EID designation is ‘Development Management’.\n\nI would be grateful to understand my options to remain in Dubai, in terms of Residency Visas. \n\n\nRegards\nJed","false"
"Working in Sea World Abu Dhabi, UAE","false"
"i need work permit","false"
"Can I apply for visa to america while I have already immigration application","false"
"Visit visa","false"
"؟","false"
"I need a work permit","false"
"AlexTest","false"
"Usa visa for event invite on nov 20","false"
"I want to get Schengen work visa","false"
"Добрый день,\nПодскажите, пожалуйста, сможете ли вы помочь с получением шенгенской визы. У нас с женой резидентство ОАЭ, но сейчас мы живем в Новой Зеландии и много путешествуем, поэтому тайминг достаточно жесткий.\nДаты поездки: 25 января – 10 февраля 2025\nБудем в Дубае и готовы к подаче документов в визовый центр: 24–27 декабря 2024\nПредыдущая виза: Швейцария, выпущена в январе 2024\nВ связи с этим следующие вопросы:\n1)\tМожно ли уложиться в указанные сроки или нужно увеличить срок пребывания в Дубае для подачи документов?\n2)\tМожно ли получить паспорт с визой доверенному лицу? \n3)\tМожно ли получить паспорт лично, перед поездкой в январе (25.01), то есть он будет храниться в консульстве/визовом центре около месяца?\n4)\tСколько будут стоить ваши услуги в этом случае?\nСо мной можно связаться по телефонам (WhatsApp на обоих номерах) у нас разница +9 часов, так что текстовые сообщения предпочтительны. Мы также можем назначить время для звонка.\n+971 50 651 1464\n+64 21 281 7068\nAlexey.mamushkin@gmail.com\n\nЗаранее благодарю вас за оперативный ответ,\nАлексей Мамушкин\n","false"
"Applying for a tourist visa to malta","false"
"usa","false"
"i know kind of work but tree","false"
"Iam need work permit","false"
"I need a wark parmit visa\nAnd I am interest job in your country ","false"
"I want to apply for Spain Visit visa with family. please contact","false"
"Dear sir/madam,\nI had an appointment yesterday for f1 visa but unfortunately, I got denied. Can you please assist me in preparation and with another appointment date here in Dubai ASAP as I have very limited time thanks so kindly.","false"
"Visit visa","false"
"I will so happy if I could have this opportunity","false"
"I need work permit","false"
"I need to apply for a US visa. I have an invitation letter to attend a workshop. When do you think you can get it?","false"
"I want Australian visa for job","false"
"Call me ofter 21 date","false"
"URGENT","false"
"Plz.  Visit visa updates","false"
"Please I need more information","false"
"Dear Visa Services Team,\nCould you assist me with the Swiss visa application, please? There are no appointments available via the VFS site right now and I have joined the waiting list. Do you ensure appointments as a part of your service? We need the visa ready before Jan 4.\nThank you!\nSergei","false"
"Интересует туристическая виза в Канаду","false"
"Travel","false"
"i would like to apply japan visa for vacation","false"
"Hi good afternoon I would\\' like to know about Italy visa information how long it will take time and you\\'re office location please","false"
"I like to have US tourist visa to visit my son there","false"
"تاشيرة شنغن لاسبانيا","false"
"I am a barber so I need a barber job","false"
"I have an appointment for next year June/July. Want to expedite and get an earlier date","false"
"Hy","false"
"Good evening \nI’m interested in urgent Schengen visa for Italy. \nI’ll be available for a call on Wednesday, what’s app messages - any day and time. \nThank you","false"
"كند","false"
"Heo to apply visa for multiple entry","false"
"I am interested in applying for US visa. Please let me know the details as soon as possible and please call me if you can. Thank you","false"
"i need to apply and residend of Abu dhabi please contact Asap i need the closest appointent","false"
"I move in Europe","false"
"I need a work visa for the United States.","false"
"Italy tourist visa in nov or dec","false"
"Looking for Schengen tourist visa \nExpected travel date : 17/01/2025","false"
"I will be so grateful when I get feedback from u.","false"
"I\\'m coming in your country","false"
"Student","false"
"Bangladesh ","false"
"Please contact me to get full information about the","false"
"I want to go to Italy","false"
"I need welding job","false"
"Sir I want go to awstralia for WOR","false"
"I WANT TO TRAVEL TO VIENNA ON 12TH OF MAY 2025, FOR DENTAL CONFERENCE CALLED EURO PERIO CAN YOU HELP ME WITH GETTING A GUARANTEED VISA","false"
"tourist visa to spain","false"
"Sorry ! Nothing to say with out question .","false"
"Please contact me","false"
"Love country","false"
"Yes","false"
"I want to renew my US visa","false"
"I really want to relocate in Japan from Zimbabwe based in Dubai","false"
"Hi, I want to apply for Schengen visa to travel in December. I live in Dubai. Can you please arrange a call or whatsapp?","false"
"Visa for ITALY","false"
"need b2b visa service","false"
"I need risidnc visa","false"
"visa tourist","false"
"Visit Visa","false"
"I am driver","false"
"I need to get a visa shingen to visit italy","false"
".klk","false"
"Looking for Tourist Visa","false"
"us visa","false"
"Hi I want to get tourist visa for Singapore","false"
"My all app markat open","false"
"Need İnformation","false"
"Am seeking a USA visa from dubai","false"
"Indian Passport holder\n\nNeed info on visa availability for any available Schengen visa or if not any non Schengen countries \n\ntravel date approx. 24Dec to 1 Jan","false"
"Hi \nI need poland work permit","false"
"How can I get Japan working visa","false"
"I want to visit USA is dream","false"
"احتاج فيزا","false"
"Hi, I would like to apply for USA visit visa from UAE. Kindly advise. Thanks","false"
"Looking for Belgium visa appointment","false"
"Vecation","false"
"Planning to apply for USA visit visa.","false"
"İ am travelling to France to attend FAT test\nHow many days are required to get the visa","false"
"call me after 6 if possible","false"
"Hi how much the visa for rome just for vacation","false"
"Help..me..","false"
"Sponsorship for australia","false"
"Info about abroad","false"
"I\\'m from Afghanistan but I live in UAE. I\\'m 34 years old.i want to go USA..","false"
"I want visa fo austria","false"
"schengen visa uae resident and philippine passport\n","false"
"I would like have safe and secure job","false"
"Hi, Iam a Dubai based photographer and videographer. I have a working visa here. For exploring and learning I got really interested to try work permit for Schengen Country","false"
"0509698971","false"
"Which Schengen countries we you guarantee for me as new applicants for Nigerian passport","false"
"I am checking if you can book appointment for a visit visa to grecce","false"
"*","false"
"I want USA visit visa","false"
"applying for Schengen visa","false"
"Cleaning","false"
"I\\'m really interest with you and I really like your country","false"
"Tourist visa application to Italy","false"
"I want work us","false"
"visa","false"
"Hungry","false"
"If you provide me opportunity I would perform my duty creatively, effectively, punctually honestly. I hope you will give me a chance.. i need to Australia sponsorship visa","false"
"Inquiry","false"
"I need Australia ","false"
"i need a work permit","false"
"Pls call me uae time 2 clock","false"
"Хочу получить туристическую визу в США, я гражданин Армении и Резидент Испании","false"
"I would like some assistance to get a Chinese tourist visa.\nI have a resident visa at UAE, and hold the lebanese passport","false"
"If i get schengen for romania can i use it to visit france?","false"
"Sir please job","false"
"US Visit Visa","false"
"I need United State of America visa","false"
"I have an appointment for my family and I in may however I need the visa earlier","true"
"WHATS THE PROCEDURE\n","false"
"I want tourist visa or work permit","false"
"Job","false"
"Please am interested","false"
"Schengen visa for UAE Residence with indian passport","true"
"I am an Indian but UAE resident. Wish to know the procedure and cost to get chaina transit visa or visit visa","false"
"Iwant students visa I want admission","false"
"Visit visa","false"
"Imran","false"
"Нужна виза в Японию, вылет 25/12/2024 - можно успеть сделать? в VFS только на 23/12 записть","false"
"I’m interested in visa service for Russian visa","false"
"Drive 7year experience","false"
"I need a job please in Australia","false"
"I need to apply for Greece Visa","false"
"visa for singapore for family tourism visa","false"
"Plumber Electretion driver panter\nWelder","false"
"I love USA","false"
"Need to tourist visa for US","false"
"iam wery intrest this job sr","false"
"Iwant visa for three months","false"
"Requirements for Luxembourg tourist visa please","false"
"Доброе утро. Необходима записаться на прием в консульство для подачи документов на новый загранпаспорт. Оказываете ли подобную услугу и какова цена. С уважением, Людмила","false"
"Looking for USA visit visa.","false"
"Hi can someone contact me for Schengen visa information","false"
"Need visit visa","false"
"interview","false"
"how can i apply for japan","false"
"I need an appointment in November for Japan visa from Dubai. My son\\'s trip to Japan is on December 10th","false"
"Information","false"
"Schengen Visa requirements","false"
"Yes","false"
"Hi, \n\nMe, my wife and daughter are UAE residents and holding Residents Visa. We are planning to travel to China on 24th November for two weeks. We would like to get an appointment for Visa. Thanks","false"
"We 3 people need 1 month visa to China","false"
"Usa visa","false"
"Please help me","false"
"I was planning for family trip to Greece.Can i know cost and documents needed","false"
"I want to go to Eurp to work/travel anyway","false"
"Tourist visa for 1 week","false"
"I am Abu Dhabi 7years experience driving i need Wark","false"
"I am masud kazi.bangladesh passport.i want touriest visa slovinia.can you help me","false"
"US VISA B1/B2","false"
"hi my nam Mohammed musa nationally Bangladesh living fujairah city UAE thank you","false"
"I have an invitation to an event in the US and I need to know more about the process.","false"
"Hello! My name is Nour, I\\'m come from Egypt, and I\\'m currently visiting family in Dubai til January 12th on a tourist visa. I study medicine in the Czech Republic and would like to renew my study permit as quickly and easily as possible while here in Dubai. Could I get some help with this?\nThank you very much!\nBest Regards,\nNour Makarem","false"
"I want to go lithunia","false"
"Need to apply for business schengen visa","false"
"Give me visa helper cleaning waiter cook agriculture farmhouse experience is my 5 year","false"
"i wanr to travel to lisbon","false"
"I am looking for visit visa","true"
"I want to apply for Singapore visa from UAE","false"
"I need Singapore Sponsorship Visa with accommodation from the employer.","false"
"Contact me from 9am to 2 pm","false"
"USA visa","false"
"737374","false"
"REQUIRED US VISA AS I HAVE A TRAVEL PACKAGE ON JAN 2025","true"
"Fruit. Parking","false"
"مصطفى\n\n","false"
"I want work permit","false"
"Hi,\nI have submitted the Ds160 application for my wife and myself and I would like to know the procedure for taking an early appointment.","false"
"Etile helper","false"
"I havev experienced 20 years multi job","false"
"Please tell me details about Europe visa ?","false"
"Pakistan","false"
"I need a tourist visa I am working UAE .","false"
"Hkjg","false"
"I need I Schengen visa for our maid","true"
"I need UK visit visa","false"
"Добрый день! Меня зовут Анастасия, я организатор туров во Франции. У меня есть туристка из ОАЭ, ей нужно визу открыть французскую. Напишите мне в вотсап, я хочу уточнить условия для туристки","false"
"Fruit. Parking","false"
"uk visa","false"
"I\\'m looking for job in","false"
"I would like to know how to get the Belgian Schengen","false"
"tailor worker","false"
"am interested to travel abroad","false"
"it will be a great pleasure for me to work with your team sir/madam","false"
"Need to apply for German visa type 16D , \ndo you provide this service ?","false"
"Pls robux","false"
"asdfasfasfd","false"
"I need for job driver","false"
"Vor vacation","false"
"I would like to apply for residency/work permit of the US.","false"
"Hi sir \nMy name is Masud Rana \nMy from Bangladesh \nLiving Dubai 14 years \nI m work Hotel 5*7* \nI m work 14 years experience","false"
"I would like to go to Cyprus from Dubai if there is a any good jobs","false"
"qwer qwer","false"
"Pls contact with me","false"
"Hello good morning, I would like to apply for any available US visa for Family since I have my wife and two kids here in Dubai, thanks.","false"
"Ined visa from italy","false"
"الخرطوم","false"
"You have a nice opportunity","false"
"I want to us visa","false"
"I need tourist visa as I have never been US. I really wanna explore. And I have got my relatives there so was planning to surprise them","false"
"Good Morning,\n\nHow are you , i need information of seasonal australia work visa i am available in Dubai .\n\nRegards,\n\nJawad.\n\n","false"
"HELP","false"
"schegen visa multiple entry","false"
"i waana a apply for study visa","false"
"Pls contact","false"
"I would like to apply for visa shingen","false"
"Hi","false"
"تاشيرة لزوجتى لزيارة اوربا\n مع العلم انها مسجلة فى السجل المدنى لمدينة اوربية","false"
"I love u boss iam Bangladesh please help me","false"
"I want to apply for Spain visa","false"
"I want to inquire about Schengen visa","false"
"I need work permit in any post.","false"
"Inquiry for European jobs visa","false"
"I need a German visa for my &amp; muy family (a total of 5 people ) we have an exciting visa still valid till 25 December and it was valid for 3 years.","false"
"I want norway visa","false"
"Assalam Alaikum, I hope you are well and I expect you to invite me to your office for an interview for my permission to travel to America and I will live up to your trust and whoever is there. Keeping in mind the law and tradition, I will make the journey trivial","false"
"Оаэ Это ватсап!\nДля звонков +77780846330","false"
"10000","false"
"I need a japan visit or working visa","false"
"Visa for italy","false"
